Time,Bus1_Va,Bus1_Vb,Bus1_Vc,Bus1_Ia,Bus1_Ib,Bus1_Ic,Bus2_Va,Bus2_Vb,Bus2_Vc,Bus2_Ia,Bus2_Ib,Bus2_Ic,Bus3_Va,Bus3_Vb,Bus3_Vc,Bus3_Ia,Bus3_Ib,Bus3_Ic
0,0,-17677.6695296637,17677.6695296637,-880067.982673715,40142.4300292597,839925.552644455,-1162.22484550281,-507.583229094156,1669.80807459697,-436761.238931979,49939.404973278,386821.833958701,-2322.60625376205,-1164.57894283203,3487.18519659409,-443306.743741736,-9796.9749440183,453103.718685754
0.1,-2.99975977304369e-11,-17677.6695296637,17677.6695296637,-880060.716776427,40132.7744820142,839927.942294409,-1162.25778325225,-507.575063086202,1669.83284633845,-436768.392105886,49943.363061924,386825.02904396,-2322.46085134121,-1164.72079381085,3487.18164515205,-443292.324670541,-9810.58857990982,453102.913250448
0.2,-5.99951954608739e-11,-17677.6695296637,17677.6695296637,-880058.610211241,40132.660436282,839925.949774955,-1162.26548355577,-507.577845730256,1669.84332928603,-436770.21494624,49942.9721700408,386827.242776197,-2322.42077905694,-1164.71847260218,3487.1392516591,-443288.395265001,-9810.31173375881,453098.706998758
0.3,2.00085063984267e-10,-17677.6695296638,17677.6695296636,-880056.285445443,40131.4742600163,839924.811185423,-1162.27434904983,-507.577008339762,1669.85135738958,-436772.274007006,49943.454273631,386828.819733373,-2322.37617123058,-1164.73599031599,3487.11216154656,-443284.011438438,-9811.98001361461,453095.99145205
0.4,-1.19990390921748e-10,-17677.6695296635,17677.6695296636,-880056.047782209,40131.3467155719,839924.701066655,-1162.27527003756,-507.576897270164,1669.85216730775,-436772.486765661,49943.5092627783,386828.977502892,-2322.37158946914,-1164.73790429939,3487.10949376858,-443283.561016547,-9812.16254720634,453095.723563763
0.5,-4.40065845827762e-10,-17677.6695296634,17677.6695296638,-880056.022306727,40131.3329843411,839924.689322404,-1162.2753689074,-507.576885115262,1669.85225402269,-436772.50959408,49943.5152117128,386828.994382376,-2322.37109812279,-1164.7381106507,3487.10920877354,-443283.512712647,-9812.18222737173,453095.694940028
0.6,4.00170127968533e-10,-17677.6695296638,17677.6695296634,-880056.019620563,40131.3315358395,839924.688084742,-1162.27537933393,-507.576883830901,1669.85226316485,-436772.512001358,49943.5158395366,386828.99616183,-2322.37104631231,-1164.73813242207,3487.10917873443,-443283.507619206,-9812.1843036971,453095.691922912
0.7,8.00946730625188e-11,-17677.6695296636,17677.6695296635,-880056.019337857,40131.3313834075,839924.687954465,-1162.27538043144,-507.57688369567,1669.85226412714,-436772.51225476,49943.5159056445,386828.996349124,-2322.37104085891,-1164.73813471378,3487.10917557275,-443283.507083096,-9812.18452223699,453095.69160534
0.8,-2.39980781843495e-10,-17677.6695296635,17677.6695296637,-880056.019308096,40131.3313673764,839924.687940737,-1162.27538054697,-507.576883681363,1669.85226422836,-436772.512281422,49943.5159126087,386828.996368822,-2322.37104028505,-1164.73813495483,3487.10917523994,-443283.507026674,-9812.18454523225,453095.691571915
0.9,-5.6005623674951e-10,-17677.6695296633,17677.6695296638,-880056.01930497,40131.3313657129,839924.687939275,-1162.27538055918,-507.5768836798,1669.852264239,-436772.51228423,49943.5159133533,386828.996370886,-2322.37104022475,-1164.73813498009,3487.10917520489,-443283.50702074,-9812.18454764038,453095.691568389
1,-8.80131691655524e-10,-17677.6695296631,17677.669529664,-880056.019304643,40131.3313655286,839924.687939132,-1162.27538056043,-507.576883679651,1669.8522642401,-436772.512284527,49943.515913427,386828.996371109,-2322.37104021834,-1164.73813498278,3487.10917520117,-443283.507020116,-9812.18454789835,453095.691568023
1.1,-3.98957178592289e-11,-17677.6695296636,17677.6695296636,-880056.019304647,40131.3313654914,839924.687939174,-1162.27538056056,-507.576883679708,1669.8522642403,-436772.512284574,49943.5159134224,386828.99637116,-2322.3710402177,-1164.73813498319,3487.10917520093,-443283.507020074,-9812.18454793093,453095.691568013
1.2,8.00340255937066e-10,-17677.669529664,17677.6695296632,-880056.019304561,40131.3313654272,839924.687939152,-1162.27538056051,-507.576883679767,1669.8522642403,-436772.512284545,49943.515913398,386828.996371156,-2322.37104021747,-1164.73813498335,3487.10917520086,-443283.507020016,-9812.18454797076,453095.691567996
1.3,-6.80046627671257e-10,-17677.6695296632,17677.6695296639,-880056.01930459,40131.3313654904,839924.687939117,-1162.27538056061,-507.576883679641,1669.85226424028,-436772.512284554,49943.5159134269,386828.996371136,-2322.37104021768,-1164.7381349831,3487.10917520083,-443283.507020035,-9812.18454793649,453095.691567981
1.4,1.60189346125038e-10,-17677.6695296642,17677.6695296641,-880056.019304601,40131.3313653942,839924.687939137,-1162.27538056059,-507.576883679811,1669.85226424031,-436772.512284564,49943.5159133821,386828.996371148,-2322.37104021763,-1164.73813498343,3487.10917520088,-443283.507020037,-9812.18454798797,453095.69156799
1.5,-2.4805089661856e-09,-17677.6695296629,17677.6695296654,-880056.01930469,40131.3313655052,839924.687939116,-1162.27538056076,-507.576883679615,1669.85226424029,-436772.512284604,49943.5159134318,386828.996371138,-2322.37104021804,-1164.73813498303,3487.10917520089,-443283.507020086,-9812.18454792658,453095.691567978
1.6,-4.79961563686991e-10,-17677.6695296639,17677.6695296644,-880056.019304558,40131.3313654011,839924.687939088,-1162.27538056059,-507.57688367977,1669.85226424027,-436772.512284542,49943.5159133862,386828.996371122,-2322.37104021761,-1164.73813498337,3487.1091752008,-443283.507020016,-9812.18454798508,453095.691567966
1.7,-8.00037018593005e-10,-17677.6695296638,17677.6695296646,-880056.019304529,40131.3313653973,839924.687939063,-1162.27538056055,-507.576883679754,1669.85226424021,-436772.512284531,49943.5159133873,386828.99637111,-2322.37104021751,-1164.73813498336,3487.10917520068,-443283.507019998,-9812.18454799002,453095.691567954
1.8,-1.12011247349902e-09,-17677.6695296636,17677.6695296647,-880056.019304598,40131.3313654584,839924.687939071,-1162.27538056061,-507.576883679745,1669.85226424026,-436772.512284562,49943.5159134109,386828.996371117,-2322.37104021767,-1164.7381349833,3487.10917520079,-443283.507020036,-9812.18454795249,453095.691567954
1.9,-1.44018792840503e-09,-17677.6695296634,17677.6695296649,-880056.019304567,40131.3313653999,839924.687939099,-1162.2753805605,-507.576883679869,1669.85226424028,-436772.512284545,49943.5159133834,386828.996371128,-2322.37104021744,-1164.73813498355,3487.10917520081,-443283.507020022,-9812.18454798347,453095.691567971
2,-1.76026338331105e-09,-17677.6695296633,17677.669529665,-880056.01930465,40131.3313654705,839924.687939111,-1162.27538056066,-507.576883679649,1669.85226424022,-436772.512284582,49943.5159134222,386828.996371126,-2322.3710402178,-1164.7381349831,3487.10917520072,-443283.507020068,-9812.18454795171,453095.691567985
2.1,-2.08033883821706e-09,-17677.6695296631,17677.6695296652,-880056.019304579,40131.3313654212,839924.687939089,-1162.27538056054,-507.576883679825,1669.85226424027,-436772.512284547,49943.5159133925,386828.996371121,-2322.37104021753,-1164.73813498345,3487.1091752008,-443283.507020032,-9812.18454797131,453095.691567968
2.2,-7.97914357184579e-11,-17677.6695296641,17677.6695296642,-880056.019304588,40131.3313653704,839924.687939149,-1162.27538056048,-507.576883679822,1669.85226424021,-436772.512284548,49943.5159133663,386828.996371148,-2322.37104021737,-1164.73813498351,3487.10917520071,-443283.50702004,-9812.18454799583,453095.691568001
